Name,mean,std
Tevin Coleman,2.75,7.657675887630659
Tim Jones,0.5875,1.1419751060584213
Tom Brady,15.3875,5.216029551844416
Tom Kennedy,1.475,3.040559159102155
Tommy Sweeney,0.2125,0.6010407640085653
Tommy Tremble,2.85,3.6209706670212856
Tony Jones Jr.,0.5,1.4142135623730951
Tony Pollard,13.0875,10.141912682386044
Trace McSorley,0.3125,0.8838834764831843
Travis Etienne Jr.,12.725,6.862683773235408
Travis Homer,1.65,2.995234309937801
Travis Kelce,18.35,10.254058429993183
Trayveon Williams,0.0,0.0
Tre' McKitty,0.85,1.902629759044045
Tre'Quan Smith,5.4375,6.338755511026705
Trent Sherfield,3.8375,3.074288535580224
Trent Taylor,-0.0625,0.9425459443140463
Trenton Cannon,0.0,0.0
Trenton Irwin,0.5875,1.6617009357883867
Trestan Ebner,0.675,1.2174328963613794
Trevon Wesco,0.4125,1.1667261889578033
Trevor Lawrence,16.1875,6.8836114898254674
Trevor Siemian,0.025,0.07071067811865475
Trey Lance,1.6875,3.8631731960730344
Trey McBride,0.675,1.9091883092036785
Trey Sermon,0.2375,0.67175144212722
Treylon Burks,3.0125,3.768075484533564
Tua Tagovailoa,14.45,14.483488135508951
Tutu Atwell,0.9125,2.239539174536966
Ty Chandler,0.0,0.0
Ty Johnson,0.4875,0.7586407017064891
Ty Montgomery,1.2875,3.64159992311072
Tylan Wallace,0.6375,0.8911268949241419
Tyler Allgeier,7.0625,5.7251169669897815
Tyler Bass,7.5,3.8544964466377265
Tyler Boyd,13.525,8.064693776845202
Tyler Conklin,10.125,8.169411589232466
Tyler Davis,0.825,1.5988835390448461
Tyler Higbee,8.4,6.147473348574076
Tyler Kroft,0.4375,0.814050717970675
Tyler Lockett,14.1375,7.566266771476063
Tyquan Thornton,3.65,7.25160080849148
Tyreek Hill,22.45,11.951449404032253
Tyrie Cleveland,0.6,1.6970562748477143
Tyrion Davis-Price,0.4625,1.155035559131035
Tyrod Taylor,0.3,0.848528137423857
Tyron Johnson,0.0,0.0
Velus Jones Jr.,1.4375,3.2416651364912537
Wan'Dale Robinson,3.5875,5.262111879138586
Washington Commanders,4.875,4.0155946010522525
Wil Lutz,7.875,3.9074105418879577
Will Dissly,7.45,5.182112090092776
Younghoe Koo,9.125,6.057757718118856
Zach Ertz,12.3,3.3474937319902924
Zach Gentry,2.65,3.281985461794213
Zach Pascal,2.95,4.714112550932269
Zach Wilson,8.3125,8.795037155773054
Zack Moss,2.1,3.039266828882067
Zamir White,0.2625,0.9085899593797602
Zander Horvath,2.15,3.624519672610822
Zay Jones,9.125,7.364344602785193
